"Index","price","return"
"2017-03-23","2017-03-23",32.6895065307617,-0.00354194370426875
"2017-03-24","2017-03-24",32.624568939209,-0.00198847223917653
"2017-03-27","2017-03-27",32.6802215576172,0.00170439661339516
"2017-03-28","2017-03-28",33.3575744628906,0.0205148173226002
"2017-03-29","2017-03-29",33.4318161010742,0.00222315754447067
"2017-03-30","2017-03-30",33.3877487182617,-0.001318996593902
"2017-03-31","2017-03-31",33.3251075744629,-0.00187793375037959
"2017-04-03","2017-04-03",33.3343887329102,0.000278464705597781
"2017-04-04","2017-04-04",33.5825996398926,0.00741850616288842
"2017-04-05","2017-04-05",33.4086227416992,-0.00519403238623983
"2017-04-06","2017-04-06",33.3251075744629,-0.00250293848224636
"2017-04-07","2017-04-07",33.2508735656738,-0.00223005469187276
"2017-04-10","2017-04-10",33.2114410400391,-0.00118661321067615
"2017-04-11","2017-04-11",32.8542060852051,-0.0108146503401572
"2017-04-12","2017-04-12",32.8936424255371,0.00119962389506778
"2017-04-13","2017-04-13",32.7196731567383,-0.00530287716540645
"2017-04-17","2017-04-17",32.9005966186523,0.00551426932502785
"2017-04-18","2017-04-18",32.7544593811035,-0.00445167479219588
"2017-04-19","2017-04-19",32.6338310241699,-0.00368960537217378
"2017-04-20","2017-04-20",33.042106628418,0.0124331948121377
"2017-04-21","2017-04-21",33.0026664733887,-0.00119434613415415
"2017-04-24","2017-04-24",33.3204727172852,0.00958364396538158
"2017-04-25","2017-04-25",33.5269241333008,0.00617681711295059
"2017-04-26","2017-04-26",33.3297462463379,-0.00589854258492251
"2017-04-27","2017-04-27",33.3552474975586,0.000764827318174177
"2017-04-28","2017-04-28",33.3227958679199,-0.000973382857774485
"2017-05-01","2017-05-01",34.0024642944336,0.0201912778578488
"2017-05-02","2017-05-02",34.2181968688965,0.00632457352058324
"2017-05-03","2017-05-03",34.1138153076172,-0.0030551315304348
"2017-05-04","2017-05-04",33.9908676147461,-0.00361055425731704
"2017-05-05","2017-05-05",34.5545692443848,0.0164479026981166
"2017-05-08","2017-05-08",35.4940376281738,0.0268249365708826
"2017-05-09","2017-05-09",35.7213821411133,0.00638472078033958
"2017-05-10","2017-05-10",35.5520362854004,-0.00475201493423727
"2017-05-11","2017-05-11",35.859504699707,0.00861122194093245
"2017-05-12","2017-05-12",36.3603172302246,0.013869337948285
"2017-05-15","2017-05-15",36.2671432495117,-0.002565807236381
"2017-05-16","2017-05-16",36.2135543823242,-0.00147870753740209
"2017-05-17","2017-05-17",34.9976654052734,-0.0341521226428672
"2017-05-18","2017-05-18",35.531078338623,0.0151264031020637
"2017-05-19","2017-05-19",35.6521987915039,0.00340306247910238
"2017-05-22","2017-05-22",35.8688201904297,0.00605757760181502
"2017-05-23","2017-05-23",35.8245735168457,-0.00123433072180701
"2017-05-24","2017-05-24",35.717414855957,-0.00299568808371431
"2017-05-25","2017-05-25",35.8408660888672,0.00345037230505785
"2017-05-26","2017-05-26",35.7803077697754,-0.00169107347061992
"2017-05-30","2017-05-30",35.7942771911621,0.000390345862898656
"2017-05-31","2017-05-31",35.5823249816895,-0.00593900034502326
"2017-06-01","2017-06-01",35.6801490783691,0.00274546062050396
"2017-06-02","2017-06-02",36.2089042663574,0.0147105768853057
"2017-06-05","2017-06-05",35.854850769043,-0.0098261975361682
"2017-06-06","2017-06-06",35.9759826660156,0.00337270238988019
"2017-06-07","2017-06-07",36.1902656555176,0.00593861047919342
"2017-06-08","2017-06-08",36.1017532348633,-0.0024487479044657
"2017-06-09","2017-06-09",34.7018508911133,-0.0395484048904042
"2017-06-12","2017-06-12",33.8726196289062,-0.0241860178583497
"2017-06-13","2017-06-13",34.145149230957,0.00801352543688649
"2017-06-14","2017-06-14",33.8120536804199,-0.00980317623049531
"2017-06-15","2017-06-15",33.6094169616699,-0.00601106226172954
"2017-06-16","2017-06-16",33.1388931274414,-0.0140986828736729
"2017-06-19","2017-06-19",34.0869102478027,0.0282058353496684
"2017-06-20","2017-06-20",33.7771110534668,-0.00913006156762641
"2017-06-21","2017-06-21",33.9774398803711,0.00591338612398307
"2017-06-22","2017-06-22",33.9215431213379,-0.00164646859759721
"2017-06-23","2017-06-23",34.0729331970215,0.00445301836398793
"2017-06-26","2017-06-26",33.9657936096191,-0.00314937333447363
"2017-06-27","2017-06-27",33.4789581298828,-0.0144368219244795
"2017-06-28","2017-06-28",33.9681167602539,0.0145052163573349
"2017-06-29","2017-06-29",33.4673194885254,-0.0148529172867575
"2017-06-30","2017-06-30",33.546516418457,0.00236360046339401
"2017-07-03","2017-07-03",33.4253959655762,-0.00361705618435293
"2017-07-05","2017-07-05",33.5628280639648,0.00410317763151724
"2017-07-06","2017-07-06",33.2460327148438,-0.00948370380283148
"2017-07-07","2017-07-07",33.5837898254395,0.0101080617471192
"2017-07-10","2017-07-10",33.7887649536133,0.00608484452712199
"2017-07-11","2017-07-11",33.8982353210449,0.00323460819458932
"2017-07-12","2017-07-12",33.9471626281738,0.00144231789007732
"2017-07-13","2017-07-13",34.4200057983398,0.0138326837466809
"2017-07-14","2017-07-14",34.7158164978027,0.00855743071570103
"2017-07-17","2017-07-17",34.8369369506836,0.00348284055799386
"2017-07-18","2017-07-18",34.9580688476562,0.00347107983465111
"2017-07-19","2017-07-19",35.1770210266113,0.00624374733551392
"2017-07-20","2017-07-20",35.0186386108398,-0.00451260620270011
"2017-07-21","2017-07-21",35.0023384094238,-0.0004655805275533
"2017-07-24","2017-07-24",35.42626953125,0.0120387511351376
"2017-07-25","2017-07-25",35.5776748657227,0.00426470853796124
